packet_id,recv_time,speed_mps,yaw_rate,steer_angle,accel_long,accel_lat,throttle,brake,gear,rpm,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,tyre_temp_fl,tyre_temp_fr,tyre_temp_rl,tyre_temp_rr,pos_x,pos_y,pos_z,lap_count,lap_time_ms,flags
5288,846606.125,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5289,846606.14,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5290,846606.171,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5291,846606.218,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5292,846606.218,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5293,846606.218,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5294,846606.234,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5295,846606.25,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5296,846606.265,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
5297,846606.281,34.95767593383789,-0.44140565395355225,-0.6575620174407959,-4.830361843109131,14.720720291137695,0,59,3,4920.0,-101.72305297851562,-98.86780548095703,-98.3369140625,-97.33723449707031,68.45234680175781,69.31394958496094,71.03058624267578,71.5550765991211,-115.37203979492188,24.43543815612793,-161.36727905273438,1,-1,155
